Date : 2025-12-29 18:11:18
Directory : e:\Development\Multan\Xtra App Studio\3.35.4\drivvo
Total : 214 files,  26481 codes, 1332 comments, 1967 blanks, all 29780 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| lib (Files)                                                                                                                    |          1 |         38 |          0 |          9 |         47 |
| lib\custom-widget                                                                                                              |         33 |      2,722 |          8 |        180 |      2,910 |
| lib\custom-widget\button                                                                                                       |          5 |        237 |          1 |         20 |        258 |
| lib\custom-widget\common                                                                                                       |          9 |        264 |          0 |         37 |        301 |
| lib\custom-widget\reminder                                                                                                     |          1 |         42 |          0 |          5 |         47 |
| lib\custom-widget\report                                                                                                       |         12 |      1,770 |          7 |         94 |      1,871 |
| lib\custom-widget\report (Files)                                                                                               |          4 |        355 |          0 |         15 |        370 |
| lib\custom-widget\report\charts                                                                                                |          8 |      1,415 |          7 |         79 |      1,501 |
| lib\custom-widget\text-input-field                                                                                             |          6 |        409 |          0 |         24 |        433 |
| lib\model                                                                                                                      |         13 |        731 |          9 |         77 |        817 |
| lib\model (Files)                                                                                                              |          5 |        222 |          6 |         37 |        265 |
| lib\model\expense                                                                                                              |          2 |        103 |          3 |         11 |        117 |
| lib\model\income                                                                                                               |          1 |         53 |          0 |          5 |         58 |
| lib\model\refueling                                                                                                            |          1 |         73 |          0 |          5 |         78 |
| lib\model\reminders                                                                                                            |          1 |         39 |          0 |          5 |         44 |
| lib\model\route                                                                                                                |          1 |         77 |          0 |          5 |         82 |
| lib\model\service                                                                                                              |          1 |         94 |          0 |          5 |         99 |
| lib\model\vehicle                                                                                                              |          1 |         70 |          0 |          4 |         74 |
| lib\modules                                                                                                                    |        103 |     18,795 |        873 |      1,199 |     20,867 |
| lib\modules (Files)                                                                                                            |          1 |         80 |          0 |          6 |         86 |
| lib\modules\authentication                                                                                                     |         12 |      1,125 |         18 |         91 |      1,234 |
| lib\modules\authentication\forgot_password                                                                                     |          3 |        176 |         13 |         17 |        206 |
| lib\modules\authentication\import-data                                                                                         |          3 |        164 |          1 |         12 |        177 |
| lib\modules\authentication\login                                                                                               |          3 |        420 |          4 |         32 |        456 |
| lib\modules\authentication\signup                                                                                              |          3 |        365 |          0 |         30 |        395 |
| lib\modules\common                                                                                                             |         15 |      1,570 |        129 |        133 |      1,832 |
| lib\modules\common\date-range                                                                                                  |          3 |        154 |          6 |          8 |        168 |
| lib\modules\common\map                                                                                                         |          3 |        582 |         61 |         66 |        709 |
| lib\modules\common\onboarding                                                                                                  |          3 |        254 |          3 |         21 |        278 |
| lib\modules\common\update-profile                                                                                              |          3 |        525 |         48 |         29 |        602 |
| lib\modules\common\view-photo                                                                                                  |          3 |         55 |         11 |          9 |         75 |
| lib\modules\home                                                                                                               |         42 |     10,264 |        514 |        611 |     11,389 |
| lib\modules\home (Files)                                                                                                       |          3 |      2,299 |        174 |        108 |      2,581 |
| lib\modules\home\expense                                                                                                       |          9 |      1,697 |         61 |        108 |      1,866 |
| lib\modules\home\expense\create                                                                                                |          3 |        693 |         22 |         38 |        753 |
| lib\modules\home\expense\type                                                                                                  |          3 |        270 |         35 |         29 |        334 |
| lib\modules\home\expense\update                                                                                                |          3 |        734 |          4 |         41 |        779 |
| lib\modules\home\filter                                                                                                        |          3 |        438 |         21 |         26 |        485 |
| lib\modules\home\income                                                                                                        |          6 |      1,011 |         25 |         76 |      1,112 |
| lib\modules\home\income\create                                                                                                 |          3 |        494 |         19 |         39 |        552 |
| lib\modules\home\income\update                                                                                                 |          3 |        517 |          6 |         37 |        560 |
| lib\modules\home\refueling                                                                                                     |          6 |      1,682 |        125 |        105 |      1,912 |
| lib\modules\home\refueling\create                                                                                              |          3 |        852 |        124 |         54 |      1,030 |
| lib\modules\home\refueling\update                                                                                              |          3 |        830 |          1 |         51 |        882 |
| lib\modules\home\route                                                                                                         |          6 |      1,435 |         41 |         80 |      1,556 |
| lib\modules\home\route\create                                                                                                  |          3 |        709 |         40 |         39 |        788 |
| lib\modules\home\route\update                                                                                                  |          3 |        726 |          1 |         41 |        768 |
| lib\modules\home\service                                                                                                       |          9 |      1,702 |         67 |        108 |      1,877 |
| lib\modules\home\service\create                                                                                                |          3 |        698 |         29 |         42 |        769 |
| lib\modules\home\service\type                                                                                                  |          3 |        270 |         35 |         27 |        332 |
| lib\modules\home\service\update                                                                                                |          3 |        734 |          3 |         39 |        776 |
| lib\modules\more                                                                                                               |         20 |      3,614 |         19 |        193 |      3,826 |
| lib\modules\more (Files)                                                                                                       |          2 |        648 |          4 |         20 |        672 |
| lib\modules\more\general                                                                                                       |          6 |        761 |          3 |         59 |        823 |
| lib\modules\more\general (Files)                                                                                               |          3 |        320 |          1 |         27 |        348 |
| lib\modules\more\general\create                                                                                                |          3 |        441 |          2 |         32 |        475 |
| lib\modules\more\plan                                                                                                          |          3 |        379 |          0 |         14 |        393 |
| lib\modules\more\vehicles                                                                                                      |          9 |      1,826 |         12 |        100 |      1,938 |
| lib\modules\more\vehicles (Files)                                                                                              |          3 |        253 |          0 |         18 |        271 |
| lib\modules\more\vehicles\create                                                                                               |          3 |        788 |          6 |         40 |        834 |
| lib\modules\more\vehicles\update                                                                                               |          3 |        785 |          6 |         42 |        833 |
| lib\modules\reminder                                                                                                           |          5 |        434 |          0 |         30 |        464 |
| lib\modules\reminder (Files)                                                                                                   |          2 |         62 |          0 |          6 |         68 |
| lib\modules\reminder\create                                                                                                    |          3 |        372 |          0 |         24 |        396 |
| lib\modules\reports                                                                                                            |          2 |        992 |         81 |         90 |      1,163 |
| lib\modules\root                                                                                                               |          3 |        155 |         71 |         14 |        240 |
| lib\modules\setting                                                                                                            |          3 |        561 |         41 |         31 |        633 |
| lib\routes                                                                                                                     |          2 |        256 |         31 |         29 |        316 |
| lib\services                                                                                                                   |          3 |        335 |         15 |         66 |        416 |
| lib\utils                                                                                                                      |          4 |        708 |        105 |         39 |        852 |
| linux                                                                                                                          |          9 |        338 |         41 |         94 |        473 |
| linux (Files)                                                                                                                  |          1 |        104 |          0 |         25 |        129 |
| linux\flutter                                                                                                                  |          4 |        110 |          9 |         27 |        146 |
| linux\runner                                                                                                                   |          4 |        124 |         32 |         42 |        198 |
| macos                                                                                                                          |          6 |        461 |          5 |         17 |        483 |
| macos\Flutter                                                                                                                  |          1 |         20 |          3 |          4 |         27 |
| macos\Runner                                                                                                                   |          4 |        434 |          0 |          9 |        443 |
| macos\Runner (Files)                                                                                                           |          2 |         23 |          0 |          7 |         30 |
| macos\RunnerTests                                                                                                              |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                                                                   |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                                                |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                                                        |          1 |        343 |          0 |          1 |        344 |
| test                                                                                                                           |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                                            |          2 |         54 |         15 |          6 |         75 |
| windows                                                                                                                        |         14 |        695 |         94 |        188 |        977 |
| windows (Files)                                                                                                                |          1 |         89 |          0 |         20 |        109 |
| windows\flutter                                                                                                                |          4 |        144 |          9 |         29 |        182 |
| windows\runner                                                                                                                 |          9 |        462 |         85 |        139 |        686 |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                       | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\README.md                                                                  | Markdown   |         10 |          0 |          7 |         17 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\analysis_options.yaml                                                      | YAML       |          3 |         22 |          4 |         29 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\android\app\src\debug\AndroidManifest.xml                                  | XML        |          3 |          4 |          1 |          8 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\android\app\src\main\AndroidManifest.xml                                   | XML        |         44 |         13 |          7 |         64 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\android\app\src\main\res\drawable-v21\launch_background.xml                | XML        |          4 |          7 |          2 |         13 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\android\app\src\main\res\drawable\launch_background.xml                    | XML        |          4 |          7 |          2 |         13 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\android\app\src\main\res\values-night\styles.xml                           | XML        |          9 |          9 |          1 |         19 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\android\app\src\main\res\values\styles.xml                                 | XML        |          9 |          9 |          1 |         19 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\android\app\src\profile\AndroidManifest.xml                                | XML        |          3 |          4 |          1 |          8 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\android\gradle.properties                                                  | Properties |          5 |          0 |          0 |          5 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\android\gradle\wrapper\gradle-wrapper.properties                           | Properties |          5 |          0 |          1 |          6 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\assets\lang\en_US.json                                                     | JSON       |        470 |          0 |          0 |        470 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\assets\lang\ur_PK.json                                                     | JSON       |        467 |          0 |          0 |        467 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\firestore.indexes.json                                                     | JSON       |         20 |          0 |          0 |         20 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\ios\RunnerTests\RunnerTests.swift                                          | Swift      |          7 |          2 |          4 |         13 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\ios\Runner\AppDelegate.swift                                               | Swift      |         12 |          0 |          2 |         14 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json                | JSON       |        122 |          0 |          1 |        123 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json              | JSON       |         23 |          0 |          1 |         24 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md                  | Markdown   |          3 |          0 |          2 |          5 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\ios\Runner\Base.lproj\LaunchScreen.storyboard                              | XML        |         36 |          1 |          1 |         38 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\ios\Runner\Base.lproj\Main.storyboard                                      | XML        |         25 |          1 |          1 |         27 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\ios\Runner\Runner-Bridging-Header.h                                        | C++        |          1 |          0 |          1 |          2 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\button\custom_button.dart                                | Dart       |         38 |          0 |          4 |         42 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\button\custom_floating_action_button.dart                | Dart       |         16 |          0 |          4 |         20 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\button\custom_outline_button.dart                        | Dart       |         41 |          0 |          3 |         44 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\button\more_option_button.dart                           | Dart       |         48 |          0 |          4 |         52 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\button\premimum_button.dart                              | Dart       |         94 |          1 |          5 |        100 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\common\build_custom_card.dart                            | Dart       |         18 |          0 |          4 |         22 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\common\card_header_text.dart                             | Dart       |         28 |          0 |          4 |         32 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\common\custom_app_bar.dart                               | Dart       |         48 |          0 |          5 |         53 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\common\error_refresh_view.dart                           | Dart       |         17 |          0 |          4 |         21 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\common\icon_with_text.dart                               | Dart       |         35 |          0 |          4 |         39 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\common\label_text.dart                                   | Dart       |         19 |          0 |          4 |         23 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\common\profile_image.dart                                | Dart       |         49 |          0 |          5 |         54 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\common\profile_network_image.dart                        | Dart       |         36 |          0 |          4 |         40 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\common\refresh_indicator_view.dart                       | Dart       |         14 |          0 |          3 |         17 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\reminder\custom_toggle_btn.dart                          | Dart       |         42 |          0 |          5 |         47 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\report\charts\category_pie_chart.dart                    | Dart       |        163 |          0 |         11 |        174 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\report\charts\cost_pie_chart.dart                        | Dart       |        224 |          0 |          9 |        233 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\report\charts\distance_per_refueling_line_chart.dart     | Dart       |        193 |          0 |         11 |        204 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\report\charts\expense_vs_income_bar_chart.dart           | Dart       |        198 |          7 |         12 |        217 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\report\charts\fuel_efficiency_line_chart.dart            | Dart       |         93 |          0 |          5 |         98 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\report\charts\fuel_price_line_chart.dart                 | Dart       |        187 |          0 |          9 |        196 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\report\charts\monthly_cost_bar_chart.dart                | Dart       |        164 |          0 |         11 |        175 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\report\charts\odometer_history_line_chart.dart           | Dart       |        193 |          0 |         11 |        204 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\report\custom_report_card.dart                           | Dart       |        143 |          0 |          4 |        147 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\report\distance_report_card.dart                         | Dart       |        105 |          0 |          4 |        109 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\report\report_date_range.dart                            | Dart       |         60 |          0 |          3 |         63 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\report\report_tab_bar.dart                               | Dart       |         47 |          0 |          4 |         51 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\text-input-field\card_text_input_field.dart              | Dart       |         73 |          0 |          4 |         77 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\text-input-field\form_label_text.dart                    | Dart       |         28 |          0 |          4 |         32 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\text-input-field\password_input_field.dart               | Dart       |         72 |          0 |          4 |         76 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\text-input-field\search_text_input_field.dart            | Dart       |         59 |          0 |          4 |         63 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\text-input-field\text_input_field.dart                   | Dart       |         84 |          0 |          4 |         88 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\custom-widget\text-input-field\text_input_field_with_controller.dart   | Dart       |         93 |          0 |          4 |         97 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\main.dart                                                              | Dart       |         38 |          0 |          9 |         47 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\model\app_user.dart                                                    | Dart       |        111 |          0 |         18 |        129 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\model\date_range_model.dart                                            | Dart       |         14 |          0 |          2 |         16 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\model\expense\expense_model.dart                                       | Dart       |         70 |          0 |          5 |         75 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\model\expense\expense_type_model.dart                                  | Dart       |         33 |          3 |          6 |         42 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\model\general_model.dart                                               | Dart       |         28 |          0 |          4 |         32 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\model\income\income_model.dart                                         | Dart       |         53 |          0 |          5 |         58 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\model\onboarding_model.dart                                            | Dart       |         10 |          0 |          2 |         12 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\model\refueling\refueling_model.dart                                   | Dart       |         73 |          0 |          5 |         78 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\model\reminders\reminder_model.dart                                    | Dart       |         39 |          0 |          5 |         44 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\model\route\route_model.dart                                           | Dart       |         77 |          0 |          5 |         82 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\model\service\service_model.dart                                       | Dart       |         94 |          0 |          5 |         99 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\model\timeline_entry.dart                                              | Dart       |         59 |          6 |         11 |         76 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\model\vehicle\vehicle_model.dart                                       | Dart       |         70 |          0 |          4 |         74 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\authentication\forgot_password\forgot_password_bindings.dart   | Dart       |          8 |          0 |          2 |         10 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\authentication\forgot_password\forgot_password_controller.dart | Dart       |         50 |         13 |          9 |         72 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\authentication\forgot_password\forgot_password_view.dart       | Dart       |        118 |          0 |          6 |        124 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\authentication\import-data\import_data_bindings.dart           | Dart       |          8 |          0 |          3 |         11 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\authentication\import-data\import_data_controller.dart         | Dart       |         17 |          0 |          5 |         22 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\authentication\import-data\import_data_view.dart               | Dart       |        139 |          1 |          4 |        144 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\authentication\login\login_bindings.dart                       | Dart       |          8 |          0 |          3 |         11 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\authentication\login\login_controller.dart                     | Dart       |        190 |          4 |         24 |        218 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\authentication\login\login_view.dart                           | Dart       |        222 |          0 |          5 |        227 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\authentication\signup\signup_bindings.dart                     | Dart       |          8 |          0 |          2 |         10 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\authentication\signup\signup_controller.dart                   | Dart       |         88 |          0 |         21 |        109 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\authentication\signup\signup_view.dart                         | Dart       |        269 |          0 |          7 |        276 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\date-range\date_range_bindings.dart                     | Dart       |          8 |          0 |          2 |         10 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\date-range\date_range_controller.dart                   | Dart       |         18 |          2 |          3 |         23 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\date-range\date_range_view.dart                         | Dart       |        128 |          4 |          3 |        135 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\map\map_bindings.dart                                   | Dart       |          8 |          0 |          2 |         10 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\map\map_controller.dart                                 | Dart       |        222 |         38 |         43 |        303 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\map\map_view.dart                                       | Dart       |        352 |         23 |         21 |        396 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\onboarding\onboarding_bindings.dart                     | Dart       |          8 |          0 |          2 |         10 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\onboarding\onboarding_controller.dart                   | Dart       |         56 |          1 |         10 |         67 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\onboarding\onboarding_view.dart                         | Dart       |        190 |          2 |          9 |        201 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\update-profile\update_profile_bindings.dart             | Dart       |          8 |          0 |          2 |         10 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\update-profile\update_profile_controller.dart           | Dart       |        133 |         47 |         21 |        201 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\update-profile\update_profile_view.dart                 | Dart       |        384 |          1 |          6 |        391 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\view-photo\view_photo_binding.dart                      | Dart       |          8 |          0 |          2 |         10 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\view-photo\view_photo_controller.dart                   | Dart       |         14 |          0 |          4 |         18 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\view-photo\view_photo_view.dart                         | Dart       |         33 |         11 |          3 |         47 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\expense\create\create_expense_binding.dart                | Dart       |          8 |          0 |          2 |         10 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\expense\create\create_expense_controller.dart             | Dart       |        146 |          1 |         28 |        175 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\expense\create\create_expense_view.dart                   | Dart       |        539 |         21 |          8 |        568 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\expense\type\expense_type_binding.dart                    | Dart       |          8 |          0 |          2 |         10 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\expense\type\expense_type_controller.dart                 | Dart       |         92 |          0 |         23 |        115 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\expense\type\expense_type_view.dart                       | Dart       |        170 |         35 |          4 |        209 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\expense\update\update_expense_binding.dart                | Dart       |          8 |          0 |          2 |         10 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\expense\update\update_expense_controller.dart             | Dart       |        169 |          3 |         31 |        203 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\expense\update\update_expense_view.dart                   | Dart       |        557 |          1 |          8 |        566 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\filter\home_filter_binding.dart                           | Dart       |          8 |          0 |          2 |         10 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\filter\home_filter_controller.dart                        | Dart       |         86 |          3 |         10 |         99 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\filter\home_filter_view.dart                              | Dart       |        344 |         18 |         14 |        376 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\home_controller.dart                                      | Dart       |        392 |         43 |         49 |        484 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\home_view.dart                                            | Dart       |        966 |         65 |         29 |      1,060 |
| e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\home_view_copy.dart                                       | Dart       |        941 |         66 |         30 |      1,037 |
